,Name,Arts and Humanities 2025,Business and Economics 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Geo,Industry,International Outlook,Law 2025,Life Sciences 2025,Medical and Health 2025,Overall,Physical Sciences 2025,Rank,Research Environment,Research Quality,Social Sciences 2025,Teaching,URL,World University Rankings 2026,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences,Female_share,Male_share,International students,No. of FTE students,No. of students per staff,country,town,Overall_num
25,The University of Tokyo,67.0,28.0,37.0,24.0,31.0,"Tokyo, Japan",100.0,50.8,30.0,25.0,27.0,83.5,72.0,26,94.2,68.2,35.0,94.7,https://www.timeshighereducation.com/world-university-rankings/university-tokyo,26.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,0.18,26298.0,10.2,Japan,Tokyo,83.5
26,Technical University of Munich,101.0,31.0,14.0,42.0,22.0,"Munich, Germany",100.0,83.4,34.0,19.0,53.0,83.4,,27,84.8,91.3,,71.9,https://www.timeshighereducation.com/world-university-rankings/technical-university-munich,27.0,Architecture,"Accounting and Finance, Business and Management",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Politics and International Studies, Sociology",37.0,63.0,0.45,35755.0,40.7,Germany,Munich,83.4
27,Duke University,36.0,15.0,57.0,63.0,23.0,"Durham, United States",100.0,74.2,23.0,52.0,23.0,82.9,26.0,28,74.2,95.4,33.0,78.7,https://www.timeshighereducation.com/world-university-rankings/duke-university,28.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",55.0,45.0,0.25,17871.0,4.4,United States,Durham,82.9
28,University of Edinburgh,11.0,73.0,29.0,27.0,76.0,"Edinburgh, United Kingdom",71.0,96.2,16.0,29.0,21.0,82.5,40.0,29,74.7,94.8,23.0,75.7,https://www.timeshighereducation.com/world-university-rankings/university-edinburgh,29.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",62.0,38.0,0.49,35350.0,11.3,United Kingdom,Edinburgh,82.5
29,Northwestern University,101.0,16.0,85.0,51.0,32.0,"Evanston, United States",96.0,71.0,52.0,51.0,46.0,81.9,36.0,30,76.0,96.9,21.0,73.2,https://www.timeshighereducation.com/world-university-rankings/northwestern-university,30.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",54.0,46.0,0.24,20611.0,8.2,United States,Evanston,81.9
30,"Nanyang Technological University, Singapore",101.0,36.0,19.0,18.0,14.0,Singapore,100.0,93.6,49.0,26.0,85.0,81.6,101.0,=31,78.1,95.2,47.0,65.8,https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university-singapore,31.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",47.0,53.0,0.31,25859.0,17.3,Singapore,Singapore,81.6
31,New York University,17.0,17.0,27.0,23.0,99.0,"New York, United States",74.8,74.1,3.0,41.0,49.0,81.6,47.0,=31,78.5,94.3,16.0,74.6,https://www.timeshighereducation.com/world-university-rankings/new-york-university,31.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",59.0,41.0,0.46,48973.0,9.0,United States,New York,81.6
32,University of Hong Kong,60.0,46.0,53.0,6.0,39.0,"Pokfulam, Hong Kong SAR China",96.5,96.6,30.0,45.0,21.0,80.5,41.0,33,70.8,95.6,57.0,68.3,https://www.timeshighereducation.com/world-university-rankings/university-hong-kong,33.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",56.0,44.0,0.48,17668.0,17.8,Hong Kong SAR China,Pokfulam,80.5
33,LMU Munich,13.0,34.0,55.0,46.0,26.0,"Munich, Germany",100.0,78.7,43.0,28.0,45.0,79.7,27.0,34,75.4,92.4,67.0,68.4,https://www.timeshighereducation.com/world-university-rankings/lmu-munich,34.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,,Law,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",61.0,39.0,0.19,33697.0,19.1,Germany,Munich,79.7
34,École Polytechnique Fédérale de Lausanne,20.0,21.0,20.0,,,"Lausanne, Switzerland",99.9,95.4,,,55.0,79.6,,35,70.8,87.5,,73.5,https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique-federale-de-lausanne,35.0,Architecture,"Accounting and Finance, Business and Management",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Biological Sciences, Sport Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,,31.0,69.0,0.64,13306.0,13.3,Switzerland,Lausanne,79.6
35,Fudan University,126.0,27.0,58.0,101.0,43.0,"Shanghai, China",99.8,53.8,39.0,22.0,40.0,79.3,301.0,36,77.1,84.8,98.0,79.5,https://www.timeshighereducation.com/world-university-rankings/fudan-university,36.0,"Archaeology, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",52.0,48.0,0.1,38601.0,12.4,China,Shanghai,79.3
36,University of Melbourne,48.0,40.0,50.0,16.0,69.0,"Parkville, Australia",99.3,91.6,11.0,35.0,20.0,79.0,79.0,37,75.5,87.8,25.0,67.7,https://www.timeshighereducation.com/world-university-rankings/university-melbourne,37.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",58.0,42.0,0.51,51622.0,23.3,Australia,Parkville,79.0
37,King’s College London,24.0,59.0,91.0,35.0,126.0,"Westminster, United Kingdom",72.3,96.9,27.0,32.0,12.0,78.7,92.0,38,72.1,95.5,9.0,64.2,https://www.timeshighereducation.com/world-university-rankings/kings-college-london,38.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",64.0,36.0,0.52,34410.0,12.6,United Kingdom,Westminster,78.7
38,Zhejiang University,151.0,41.0,32.0,62.0,27.0,China,100.0,55.5,40.0,46.0,76.0,78.3,60.0,39,78.4,84.3,201.0,75.0,https://www.timeshighereducation.com/world-university-rankings/zhejiang-university,39.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,0.14,54313.0,13.0,China,China,78.3
39,Shanghai Jiao Tong University,101.0,25.0,33.0,26.0,39.0,"Shanghai, China",100.0,57.7,56.0,41.0,56.0,77.6,89.0,40,79.1,80.2,,75.4,https://www.timeshighereducation.com/world-university-rankings/shanghai-jiao-tong-university,40.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",36.0,64.0,0.11,41507.0,12.5,China,Shanghai,77.6
40,Georgia Institute of Technology,151.0,75.0,15.0,100.0,49.0,"Atlanta, United States",99.1,81.5,101.0,151.0,22.0,77.1,,=41,75.8,90.4,,60.8,https://www.timeshighereducation.com/world-university-rankings/georgia-institute-technology,41.0,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",34.0,66.0,0.32,33325.0,28.3,United States,Atlanta,77.1
41,McGill University,51.0,84.0,76.0,38.0,73.0,"Montreal, Canada",77.5,89.2,33.0,40.0,29.0,77.1,66.0,=41,70.8,86.2,21.0,71.0,https://www.timeshighereducation.com/world-university-rankings/mcgill-university,41.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",61.0,39.0,0.29,30196.0,11.7,Canada,Montreal,77.1
42,The Chinese University of Hong Kong,88.0,47.0,30.0,11.0,56.0,Hong Kong SAR China,90.9,92.1,59.0,81.0,24.0,77.1,61.0,=41,63.8,97.9,67.0,63.2,https://www.timeshighereducation.com/world-university-rankings/chinese-university-hong-kong,41.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,0.25,18461.0,18.2,Hong Kong SAR China,Hong Kong SAR China,77.1
43,University of Illinois at Urbana-Champaign,92.0,55.0,21.0,29.0,25.0,"Urbana, United States",84.4,62.3,101.0,86.0,176.0,77.1,41.0,=41,80.7,85.3,48.0,67.9,https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign,41.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",47.0,53.0,0.23,50640.0,18.9,United States,Urbana,77.1
44,University of British Columbia,53.0,29.0,51.0,25.0,49.0,"Vancouver, Canada",77.4,93.5,41.0,33.0,28.0,77.0,56.0,45,73.9,88.6,17.0,64.1,https://www.timeshighereducation.com/world-university-rankings/university-british-columbia,45.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",55.0,45.0,0.34,60112.0,18.7,Canada,Vancouver,77.0
45,KU Leuven,18.0,49.0,44.0,44.0,50.0,"Leuven, Belgium",100.0,79.2,15.0,52.0,41.0,76.8,74.0,46,73.8,91.3,19.0,61.3,https://www.timeshighereducation.com/world-university-rankings/ku-leuven,46.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",52.0,48.0,0.21,50336.0,37.1,Belgium,Leuven,76.8
46,"University of California, San Diego",73.0,35.0,35.0,56.0,42.0,"La Jolla, United States",100.0,71.3,25.0,41.0,34.0,76.6,33.0,47,63.7,97.1,53.0,66.4,https://www.timeshighereducation.com/world-university-rankings/university-california-san-diego,47.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",51.0,49.0,0.23,40586.0,9.8,United States,La Jolla,76.6
47,Paris Sciences et Lettres – PSL Research University Paris,22.0,101.0,79.0,126.0,78.0,"Paris, France",99.7,77.9,21.0,79.0,38.0,76.5,,48,71.8,79.8,,74.2,https://www.timeshighereducation.com/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris,48.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",52.0,48.0,0.2,15646.0,14.5,France,Paris,76.5
48,Universität Heidelberg,,,,,,,93.7,80.2,,,,76.3,,49,61.4,95.3,,68.3,https://www.timeshighereducation.com/world-university-rankings/universitat-heidelberg,,,,,,,,,,,,,56.0,44.0,0.24,20091.0,8.0,nan,nan,76.3
49,University of Texas at Austin,55.0,51.0,31.0,21.0,29.0,"Austin, United States",82.3,46.2,66.0,101.0,101.0,75.8,37.0,50,76.0,90.1,33.0,67.8,https://www.timeshighereducation.com/world-university-rankings/university-texas-austin,50.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",56.0,44.0,0.1,51158.0,17.0,United States,Austin,75.8
